host,ip,port,country,city,country_name,asn
182.221.191.237:50001,182.221.191.237,50001,KR,Suwon,韩国,17858
182.218.116.173:50001,182.218.116.173,50001,KR,Seoul,韩国,17858
122.47.74.139:50001,122.47.74.139,50001,KR,Seoul,韩国,17858
49.175.64.126:50001,49.175.64.126,50001,KR,Seoul,韩国,17858
116.36.163.131:50001,116.36.163.131,50001,KR,Seoul,韩国,17858
115.139.183.243:50001,115.139.183.243,50001,KR,Seoul,韩国,17858
49.166.202.100:50001,49.166.202.100,50001,KR,Andong,韩国,17858
116.45.7.28:50001,116.45.7.28,50001,KR,Seoul,韩国,17858
119.66.172.143:50001,119.66.172.143,50001,KR,Seoul,韩国,17858
182.210.59.164:50001,182.210.59.164,50001,KR,Gochang,韩国,17858
112.148.30.216:50001,112.148.30.216,50001,KR,Seoul,韩国,17858
182.209.106.51:50001,182.209.106.51,50001,KR,Seoul,韩国,17858
49.175.158.24:50001,49.175.158.24,50001,KR,Seongnam,韩国,17858
49.174.28.202:50001,49.174.28.202,50001,KR,Goyang,韩国,17858
124.53.20.222:50001,124.53.20.222,50001,KR,Seoul,韩国,17858
124.49.105.147:50001,124.49.105.147,50001,KR,Seoul,韩国,17858
182.225.8.184:50001,182.225.8.184,50001,KR,Seoul,韩国,17858
125.242.227.238:50001,125.242.227.238,50001,KR,Seoul,韩国,17858
182.212.76.41:50001,182.212.76.41,50001,KR,Seoul,韩国,17858
180.224.73.183:50001,180.224.73.183,50001,KR,Seoul,韩国,17858
112.155.196.229:50001,112.155.196.229,50001,KR,Seoul,韩国,17858
115.138.188.15:50001,115.138.188.15,50001,KR,Seoul,韩国,17858
125.186.19.199:50001,125.186.19.199,50001,KR,Seoul,韩国,17858
124.53.232.44:50001,124.53.232.44,50001,KR,Seoul,韩国,17858
180.230.0.137:50001,180.230.0.137,50001,KR,Seoul,韩国,17858
182.218.242.153:50001,182.218.242.153,50001,KR,Seoul,韩国,17858
182.228.236.90:50001,182.228.236.90,50001,KR,Seoul,韩国,17858
